"study","tot","updated_date","submission_center","submission_lab","platform","instrument_model","platform_parameters","study_title","study_url_link","study_alias","submission_date","study_abstract","study_description","year"
"SRP066710",156,"2016-03-06","Sichuan Agricultural University","Maize Research Institute","ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Zea mays transcriptome",NA,"PRJNA304223",NA,"comparative RNA-Seq analysis to compare gene expression profiles between mutant rtcs roots and wild-type roots under different N conditions.",NA,"2016"
"SRP032990",156,"2014-08-08","Max Planck Institute for Developmental Biology","Department for Molecular Biology","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Hi-C map of the three-dimensional genome organization",NA,"PRJNA227546",NA,"The spatial arrangement of interphase chromosomes in the nucleus is important for gene expression and genome function in animals and in plants. The recently developed Hi-C technology is an efficacious method to investigate genome packing. Here we present a detailed Hi-C map of the three-dimensional genome organization of the plant Arabidopsis thaliana. We find that local chromatin packing differs from the patterns seen in animals, with kilobasepair-sized segments that have much higher intra-chromosome interaction rates than neighboring regions and which represent a dominant local structural feature of genome conformation in A. thaliana. These regions appear as positive strips on two-dimensional representations of chromatin interaction and they are enriched in epigenetic marks H3K27me3, H3.1 and H3.3. We also identify over 400 insulator-like regions. Furthermore, although topologically associating domains (TADs), which are prominent in animals, are not the dominant feature of A. thaliana genome packing, we found over 1,000 regions that have properties of TAD boundaries, and a similar number of regions similar to the interior of TADs. These insulator-like, TAD-boundary-like, and TAD-interior-like regions show strong enrichment for distinct epigenetic marks, and correlate with gene transcription levels. We conclude that epigenetic modifications, gene density, and transcriptional activity all contribute to shaping the local structure of the A. thaliana nuclear genome.",NA,"2014"
"SRP013580",155,"2014-05-31","DOE Joint Genome Institute","Genetic Analysis Group","ILLUMINA","Illumina Genome Analyzer II","INSTRUMENT_MODEL: Illumina Genome Analyzer II","Zea mays Transcriptome or Gene expression",NA,"PRJNA168080","2012-06-06","Sequencing of the maize B73 transcriptome",NA,"2014"
"SRP077208",151,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PH207 Genome sequencing","JGI Portal For Zea mays PH207: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012558&","PRJNA251177",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077216",150,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHG50 Genome sequencing","JGI Portal For Zea mays PHG50: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012564&","PRJNA251171",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077212",148,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:Mo45 Genome sequencing","JGI Portal For Zea mays Mo45: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012552&","PRJNA251172",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077222",146,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHJ40 Genome sequencing","JGI Portal For Zea mays PHJ40: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012579&","PRJNA251135",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077243",146,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:LH93 Genome sequencing","JGI Portal For Zea mays LH93: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012612&","PRJNA251181",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077209",145,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:NC230 Genome sequencing","JGI Portal For Zea mays NC230: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012555&","PRJNA251186",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077224",144,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:CR1HT Genome sequencing","JGI Portal For Zea mays CR1Ht: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012594&","PRJNA251175",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077203",141,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHG47 Genome sequencing","JGI Portal For Zea mays PHG47: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012534&","PRJNA251167",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077219",140,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:B84 Genome sequencing","JGI Portal For Zea mays B84: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012570&","PRJNA251168",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077220",140,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHB47 Genome sequencing","JGI Portal For Zea mays PHB47: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012576&","PRJNA251121",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077205",139,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:Oh43 Genome sequencing","JGI Portal For Zea mays Oh43: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012543&","PRJNA251174",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077226",139,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:Mo17 Genome sequencing","JGI Portal For Zea mays Mo17: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012597&","PRJNA251170",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077204",137,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHW65 Genome sequencing","JGI Portal For Zea mays PHW65: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012537&","PRJNA251134",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077210",137,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHG29 Genome sequencing","JGI Portal For Zea mays PHG29: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012561&","PRJNA251166",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077244",137,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHG39 Genome sequencing","JGI Portal For Zea mays PHG39: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012615&","PRJNA251169",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP047420",137,"2014-11-19","University of Georgia","Dawe","ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Zea mays Epigenomics",NA,"PRJNA261802",NA,"RNA-directed DNA methylation (RdDM) in plants is a well-characterized example of RNAi-related transcriptional gene silencing. To determine relationships between RdDM and heterochromatin in the repeat-rich maize genome, we carried out whole-genome analyses of several heterochromatic features: H3K9me2 and H3K27me2, chromatin accessibility, DNA methylation, and small RNAs, and we analyzed two mutants that affect these processes (mop1 and zmet2)",NA,"2014"
"SRP077207",135,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHG83 Genome sequencing","JGI Portal For Zea mays PHG83: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012546&","PRJNA251173",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077211",135,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:LH145 Genome sequencing","JGI Portal For Zea mays LH145: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012540&","PRJNA251182",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP047035",135,"2014-09-15","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"GSE61333",NA,"Development of multicellular organisms proceeds via the correct interpretation of positional information to establish boundaries that separate developmental fields with distinct identities. The maize leaf is an ideal system to study plant morphogenesis as it is subdivided into a proximal sheath and a distal blade, each with distinct developmental patterning. Specialised ligule and auricle structures form at the blade-sheath boundary. The auricles act as a hinge, allowing the leaf blade to project at an angle from the stem, while the ligule comprises an epidermally-derived fringe. Recessive liguleless1 mutants lack ligules and auricles, and have upright leaves. We utilized laser-microdissection RNAseq to identify genes that are differentially expressed along discrete cell/tissue-specific domains along the proximal-distal axis of wild-type leaf primordia undergoing ligule initiation, and compared transcript accumulation in wild type and liguleless1 mutant leaf primordia. We identified transcripts that are specifically upregulated at the blade-sheath boundary. A surprising number of these ligule genes are also implicated to function during leaf initiation or lateral branching, and intersect multiple hormonal signalling pathways. We propose that genetic modules utilised in leaf and/or branch initiation are redeployed to regulate ligule outgrowth from leaf primordia. Overall design: In this study, we analysed the transcriptome associated with ligule formation using laser microdissection RNA-sequencing (LM-RNAseq). We quantified transcript accumulation in the PLB and adjacent pre-blade and pre-sheath regions of wild-type leaf primordia in order to identify candidate genes involved in proximal-distal patterning at the blade-sheath boundary. We also compared transcript accumulation in lg1-R mutants and wild-type siblings to identity genes acting downstream of LG1.",NA,"2014"
"SRP077206",134,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:LH123HT Genome sequencing","JGI Portal For Zea mays LH123Ht: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012549&","PRJNA251136",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077241",134,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHG35 Genome sequencing","JGI Portal For Zea mays PHG35: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1013415&","PRJNA251195",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077240",133,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:LH85 Genome sequencing","JGI Portal For Zea mays LH85: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012609&","PRJNA251180",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP009313",133,"2013-07-28","University of Minnesota","Springer Lab","ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Parent-of-origin effects on gene expression and DNA methylation in the maize endosperm",NA,"maize_B73_Mo17_endo_emb_RNAseq","2011-11-14","Imprinting describes the differential expression of alleles based upon their parent of origin.  Deep sequencing of RNAs isolated from 14 days after pollination maize endosperm and embryo tissue was used to identify imprinted genes in a set of ~12,000 genes that were expressed and contained sequence polymorphisms in the B73 and Mo17 genotypes.  The analysis of parent-of-origin patterns of expression resulted in the identification of 100 putative imprinted genes in maize endosperm including 54 maternally expressed genes (MEGs) and 46 paternally expressed genes (PEGs).  Three of these genes have been previously identified as imprinted while the remaining 97 genes represent novel imprinted maize genes.  The 100 imprinted genes are distributed throughout the maize genome with little evidence for any clustering.  A genome-wide analysis of DNA methylation identified regions with reduced endosperm DNA methylation in, or near, 19 of the 100 imprinted genes.  The reduced levels of DNA methylation in endosperm are caused by specific hypomethylation of the maternal allele for both MEGs and PEGs in all cases tested.  Many of the imprinted genes with reduced DNA methylation levels also show endosperm-specific expression patterns.  The imprinted maize genes were compared with imprinted genes identified in genome-wide screens of rice and Arabidopsis and at least 10 examples of conserved imprinting between maize and each of the other species were identified.  The genes that are imprinted in multiple species may provide insights into the conserved functions of imprinting.","The data presented here contains the RNA-seq reads used in the analysis for this manuscript. There are three biological replicates of two tissues (endosperm and embryo) in two different maize genotypes (B73 and Mo17) for a total of 12 RNA-seq samples. For the hybrid analysis there are >100M PE reads of Mo17 x B73 and B73 x Mo17 hybrids in embryo and endosperm tissue.","2013"
"SRP077217",132,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHG72 Genome sequencing","JGI Portal For Zea mays PHG72: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012567&","PRJNA251193",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077218",130,"2016-06-26","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:NKH8431 Genome sequencing","JGI Portal For Zea mays NKH8431: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012573&","PRJNA251184",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP064243",129,"2016-05-18","Florida State University","Vera","ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Zea mays subsp. mays Seedling MNase-seq",NA,"PRJNA297204",NA,"Every cellular process mediated through nuclear DNA must contend with chromatin. We use an MNase hypersensitivity assay to discover open chromatin regions in the maize reference genome. We show that maize MNase hypersensitive (MNase HS) regions localize around active genes and within recombination hotspots. We also demonstrate that they focus biased gene conversion at their flanks. Finally, we show that MNase HS regions Ã¢â‚¬â€œ comprising less than 1% of the genome Ã¢â‚¬â€œ consistently explain approximately 40% of the heritable phenotypic variance in diverse quantitative traits, with the remainder of the variance primarily explained by the coding sequence. Altogether, our results imply that less than 3% of the maize genome may explain most of the variation in both molecular and organismal-level phenotypes, greatly narrowing the scope of the functional genome.",NA,"2016"
"SRP077067",129,"2016-06-24","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:PHN11 Genome sequencing","JGI Portal For Zea mays PHN11: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012528&","PRJNA251176",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077223",128,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:W605S Genome sequencing","JGI Portal For Zea mays W605S: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012588&","PRJNA251179",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077227",128,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:DKHBA1 Genome sequencing","JGI Portal For Zea mays DKHBA1: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012603&","PRJNA251185",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077225",127,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:W604S Genome sequencing","JGI Portal For Zea mays W604S: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012600&","PRJNA251178",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077236",126,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:LH156 Genome sequencing","JGI Portal For Zea mays LH156: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012606&","PRJNA251187",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP050012",125,"2015-01-02","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"GSE63429",NA,"Maize is highly sensitive to short term flooding and submergence. We aimed to discover genetic variation for submergence tolerance in maize and elucidate the genetic basis of submergence tolerance through transcriptional profiling of contrasting genotypes. A diverse set of maize nested association mapping (NAM) founder lines were screened, and two highly tolerant (Mo18W and M162W) and sensitive (B97 and B73) genotypes were identified. Transcriptome analysis was performed on these inbreds to provide genome level insights into the molecular responses to submergence. Overall design: RNA deep sequencing of shoot tissue from four inbreds (B73, B97, Mo18W and M162W) in three conditions 24h control (non-submerged), 24h submerged and 72h submerged.",NA,"2015"
"SRP077221",119,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays cultivar:W182Ngt Genome sequencing","JGI Portal For Zea mays W182Ngt: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012585&","PRJNA251192",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP032955",117,"2015-02-12","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Transcriptome or Gene expression",NA,"GSE52293",NA,"Maize anthers, the male reproductive floral organs, express two classes of phased, small interfering RNAs (phasiRNAs). RNA profiling from ten sequential cohorts of staged maize anthers plus mature pollen revealed that 21-nt phased siRNAs (21-phasiRNAs) from 463 loci appear abruptly after germinal and initial somatic cell fate specification and then diminish, while 24-nt phased siRNAs (24-phasiRNAs) from 176 loci coordinately accumulate during meiosis and persist as haploid gametophytes differentiate into pollen. RNA sequencing of anther developmental mutants, together with in situ RNA hybridization detection of phasiRNA biogenesis factors, demonstrated that 21-phasiRNAs and 24-phasiRNAs are independently regulated. Furthermore, 21-phasiRNAs require epidermal cells while 24-phasiRNAs require functional tapetal cells.  Maize phasiRNAs and mammalian PIWI-interacting RNAs (piRNAs) illustrate convergent evolution of small RNAs to support male reproduction. Overall design: Examination of maize phasiRNAs by high throughput sequencing for small RNA profiling",NA,"2015"
"SRP077290",116,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays cultivar:SCRO1 Genome sequencing","JGI Portal For Zea mays SCRO1: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012582&","PRJNA251198",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077291",114,"2016-06-27","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays cultivar:AS5707 Genome sequencing","JGI Portal For Zea mays AS5707: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012591&","PRJNA256702",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP077937",114,"2016-07-06","BioCI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays B73, seedling root tip (0-1mm), DNA replication timing, mitotic cycle",NA,"33ecd866-161b-11e6-bfa3-000e1e0af2dc",NA,"B73 seedling roots were pulse-labeled with the thymidine analog 5-Ethynyl-2'-deoxyuridine (EdU) for 20 minutes to allow actively replicating DNA to incorporate the EdU. The terminal 0-1 mm root segments were excised, fixed in 1% formaldehyde for 15 minutes, washed in PBS, and snap frozen. Nuclei were isolated from the frozen, excised roots, the incorporated EdU was clicked to Alexa Fluor-488 (AF-488), and total DNA was stained with DAPI. Nuclei were flow sorted based on EdU incorporation (AF-488 fluorescence) and DNA content (DAPI fluorescence) into early, mid and late stages of S phase. G1 nuclei were also sorted to use as a genomic DNA reference for sequencing. After DNA was isolated from the sorted nuclei, EdU/AF-488 labeled DNA was immunoprecipitated from each of the three S-phase stages using an AF-488 antibody. The resulting IP DNA from three S-phase stages, and the G1 reference genomic DNA were Illumina sequenced to generate whole-genome DNA replication timing profiles.",NA,"2016"
"SRP052802",112,"2016-01-01","Heinrich-Heine University Duesseldorf","Institute of Plant Biochemistry","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA273547",NA,"Transcriptomes of mechanically enriched bundle sheath and mesophyll tissues in a developing maize leaf were sequenced. Differences in expression of tissue types during development are used to understand development of C4 photosynthesis during leaf ontogeny.",NA,"2016"
"SRP077064",111,"2016-06-24","JGI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays cultivar:Mo44 Genome sequencing","JGI Portal For Zea mays Mo44: http://genome.jgi-psf.org//lookup?keyName=jgiProjectId&keyValue=1012531&","PRJNA251204",NA,"Genotyping by sequencing in maize",NA,"2016"
"SRP056646",108,"2016-03-28",NA,NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays",NA,"PRJNA279782",NA,"Epigenetic regulation of gene expression is critically important for seed development in plants. Here we performed high-throughput analysis of the cytosine methylome, small RNA transcriptome and mRNA transcriptome at single-base resolution to generate integrative epigenetic regulation maps for maize seeds.",NA,"2016"
"SRP010160",103,"2014-05-31","China Argricultural University","Jinsheng Lai","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000",NA,NA,NA,"2012-03-25",NA,NA,"2014"
"ERP009123",99,"2016-06-28",NA,NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000",NA,NA,NA,NA,NA,NA,"2016"
"SRP077928",95,"2016-07-05","BioCI",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays B73, seedling root tip (0-1mm), methylation data, G1 nuclei",NA,"953177bc-1dc8-11e6-bfeb-000e1e0af2dc",NA,"B73 seedling roots were pulse-labeled with the thymidine analog 5-Ethynyl-2'-deoxyuridine (EdU) for 20 minutes to allow actively replicating DNA to incorporate the EdU. The terminal 0-1 mm root segments were excised, fixed in 1% formaldehyde for 15 minutes, washed in PBS, and snap frozen. Nuclei were isolated from the frozen, excised roots, the incorporated EdU was clicked to Alexa Fluor-488 (AF-488), and total DNA was stained with DAPI. G1 nuclei (2C DNA content) were flow sorted based on the absence of EdU incorporation (AF-488 fluorescence) and DNA content (DAPI fluorescence). After DNA was isolated from the sorted nuclei, the DNA was treated with bisulfite to convert un-methylated cytosines, and Illumina sequenced to generate whole-genome methylation profiles.",NA,"2016"
"SRP048756",94,"2014-10-11","University of Delaware",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Targeted Locus (Loci)",NA,"PRJNA263415",NA,"Project aims: 1) characterize molecular genetic diversity at loci associated with quantitative disease resistance in maize; 2) resolve causal variants at these loci. Region-specific enrichment is being used to resequence regions of the maize genome associated with quantitative disease resistance. Resequencing is being performed in a public panel of diverse maize inbred lines that enables high-resolution mapping. The target regions have been identified in linkage and association mapping studies as being associated with quantitative resistance to grey leaf spot, northern leaf blight, and/or southern leaf blight diseases of maize.",NA,"2014"
"SRP039594",91,"2014-09-02","FGC",NA,"ILLUMINA","Illumina HiSeq 1000","INSTRUMENT_MODEL: Illumina HiSeq 1000","Zea mays Transcriptome or Gene expression",NA,"PRJNA240676",NA,"Fusarium ear rot caused by Fusarium verticillioides is a prevalent disease in maize which can severely reduce graind yields and quality, due to contamination of infected kernels with mycotoxins. Natural sources of resistance from maize genotypes are used in conventional breeding approaches, but the signals and effectors involved in resistance in this important crop species are not well understood. Early transcriptional changes associated with F. verticillioides infection were analysed in resistant CO441 and susceptible CO354 maize genotypes using RNA-Sequencing technology. Transcript level were measured at 72 hours post-inoculation (hpi), reflecting the time point immediately preceding the onset of resistance in CO441, as determined by the absolute quantification of the fungal ÃƒÅ¸-tubulin2 gene. More than 100 million sequence reads were generated for condition (inoculated/uninoculated). The sequence reads were analyzed to measure gene expression levels and determine single nucleotide polymorphisms. We observed 2,551 transcripts with statistically significant differential expression before inoculation by comparing uninoculated control samples. Overall, a more induced expression of genes distributed in all functional classes is found in the CO441 genotype, in particular a high percentage of differentially genes were more expressed only in the resistant genotype for the functional class secondary metabolism. Furthermore, a total of 2,250 and 2,442 transcripts were differentially regulated after F. verticillioides inoculation in resistant and susceptible genotypes, respectively. The genes in common were 1,028 genes and showed 5,342 SNPs variants, suggesting a certain variability in the defense responses of the two genotypes. Also at 72 hpi, secondary metabolism was the category where the most interesting differences between the two genotypes were observed to a greater extent. Pathways related to phenylalanine, tyrosine and tryptophan biosynthesis (e.g. anthranilate synthase, shikimate kinase), flavonoid biosynthesis (e.g. chalcone synthase) and lignin biosynthesis (e.g. cinnamyl-alcohol dehydrogenase) appeared to be strongly influenced by infection in the CO441 genotype with up to 11-fold induction. Response to stress and resistance categories followed. In addition, transcriptional modulation affected signal transduction, including calcium signaling, ethylene signaling, MAP kinases, receptor-like kinases, and numerous transcription factors. Even though all these genes were well represented in both genotypes, it was observed that on the whole CO441 mounts a stronger gene induction, confirming its strengthening also in the specific response to inoculation. The identification of plant candidate resistance genes that interact with fungus could be exploited in future biotechnological approaches to increase disease resistance in susceptible maize genotypes.",NA,"2014"
